,Time (h),,,,Memory footprint (GB),,,,Energy (kJ),,,
Method,(a),(b),(c),(d),(a),(b),(c),(d),(a),(b),(c),(d)
ConRFT,0,0,0,0,0,0,0,0,0,0,0,0
FlaRe,0,0,0,0,0,0,0,0,0,0,0,0
iRe-VLA,0,0,0,0,0,0,0,0,0,0,0,0
Self-Improvement,0.05,0.20,0.20,0.11,6.53,7.49,10.08,7.53,11.80,76.96,117.26,60.69
RLVLA,0,0,0,0,0,0,0,0,0,0,0,0
VLA-RFT,0.04,0.20,0.22,0.11,7.89,7.52,8.76,7.53,10.68,80.80,133.11,63.56
World-Env,0.04,0.20,0.22,0.11,8.76,7.48,9.36,7.47,9.98,78.56,128.15,63.89
EdgeTA,0,0,0,0,0,0,0,0,0,0,0,0
ConvertNet,0,0,0,0,0,0,0,0,0,0,0,0
VLASelect,0.01,0.02,0.03,0.01,4.34,7.19,5.75,5.20,0.42,11.65,17.26,1.06
